group	human_source	cage_id	mouse_id	mouse_sex	mouse_DOB	mouse_age_d	mouse_age_wk	day	cdiff_strain	date	sample_type	cdiff_cfu	nextDayCFU_colon	nextDayCFU_any	weight_grams	percent_weightLoss	file
268A-inoculum	DA00268	inoculum	NA	NA	NA	NA	NA	NA	NA	NA	stool	NA	NA	NA	NA	NA	NA
339A-inoculum	DA00339	inoculum	NA	NA	NA	NA	NA	NA	NA	NA	stool	NA	NA	NA	NA	NA	NA
369-331-D0	DA00369	369	331	f	2/14/13	47	6.71	0	431	4/2/13	stool	0	7000	7000	18	100	20130318_GF_cfu.xlsx
369-331-D1	DA00369	369	331	f	2/14/13	48	6.86	1	431	4/3/13	stool	7000	7560000	7560000	16.5	91.66666667	20130318_GF_cfu.xlsx
369-331-D10	DA00369	369	331	f	2/14/13	57	8.14	10	431	4/12/13	stool	87000000	NA	NA	19	105.5555556	20130318_GF_cfu.xlsx
369-331-D2	DA00369	369	331	f	2/14/13	49	7.00	2	431	4/4/13	stool	7560000	6000000	6000000	17.5	97.22222222	20130318_GF_cfu.xlsx
369-331-D3	DA00369	369	331	f	2/14/13	50	7.14	3	431	4/5/13	stool	6000000	8400000	8400000	15	83.33333333	20130318_GF_cfu.xlsx
369-331-D4	DA00369	369	331	f	2/14/13	51	7.29	4	431	4/6/13	stool	8400000	1600000	1600000	17.5	97.22222222	20130318_GF_cfu.xlsx
369-331-D5	DA00369	369	331	f	2/14/13	52	7.43	5	431	4/7/13	stool	1600000	10400000	10400000	16.5	91.66666667	20130318_GF_cfu.xlsx
369-331-D6	DA00369	369	331	f	2/14/13	53	7.57	6	431	4/8/13	stool	10400000	24200000	24200000	17	94.44444444	20130318_GF_cfu.xlsx
369-331-D7	DA00369	369	331	f	2/14/13	54	7.71	7	431	4/9/13	stool	24200000	66000000	66000000	17	94.44444444	20130318_GF_cfu.xlsx
369-331-D8	DA00369	369	331	f	2/14/13	55	7.86	8	431	4/10/13	stool	66000000	132000000	132000000	18	100	20130318_GF_cfu.xlsx
369-331-D9	DA00369	369	331	f	2/14/13	56	8.00	9	431	4/11/13	stool	132000000	87000000	87000000	17.5	97.22222222	20130318_GF_cfu.xlsx
369-939-D0	DA00369	369	939	f	2/14/13	47	6.71	0	431	4/2/13	stool	0	1000	1000	19	100	20130318_GF_cfu.xlsx
369-939-D1	DA00369	369	939	f	2/14/13	48	6.86	1	431	4/3/13	stool	1000	1260000	1260000	18.5	97.36842105	20130318_GF_cfu.xlsx
369-939-D10	DA00369	369	939	f	2/14/13	57	8.14	10	431	4/12/13	stool	50000000	NA	NA	20	105.2631579	20130318_GF_cfu.xlsx
369-939-D2	DA00369	369	939	f	2/14/13	49	7.00	2	431	4/4/13	stool	1260000	58000000	58000000	19	100	20130318_GF_cfu.xlsx
369-939-D3	DA00369	369	939	f	2/14/13	50	7.14	3	431	4/5/13	stool	58000000	2300000	2300000	18.5	97.36842105	20130318_GF_cfu.xlsx
369-939-D4	DA00369	369	939	f	2/14/13	51	7.29	4	431	4/6/13	stool	2300000	20000000	20000000	19	100	20130318_GF_cfu.xlsx
369-939-D5	DA00369	369	939	f	2/14/13	52	7.43	5	431	4/7/13	stool	20000000	132000000	132000000	18.5	97.36842105	20130318_GF_cfu.xlsx
369-939-D6	DA00369	369	939	f	2/14/13	53	7.57	6	431	4/8/13	stool	132000000	79000000	79000000	20	105.2631579	20130318_GF_cfu.xlsx
369-939-D7	DA00369	369	939	f	2/14/13	54	7.71	7	431	4/9/13	stool	79000000	85000000	85000000	18.5	97.36842105	20130318_GF_cfu.xlsx
369-939-D8	DA00369	369	939	f	2/14/13	55	7.86	8	431	4/10/13	stool	85000000	163000000	163000000	17.5	92.10526316	20130318_GF_cfu.xlsx
369-939-D9	DA00369	369	939	f	2/14/13	56	8.00	9	431	4/11/13	stool	163000000	50000000	50000000	19	100	20130318_GF_cfu.xlsx
369-942-D0	DA00369	369	942	f	2/14/13	47	6.71	0	431	4/2/13	stool	0	3000	3000	18.5	100	20130318_GF_cfu.xlsx
369-942-D1	DA00369	369	942	f	2/14/13	48	6.86	1	431	4/3/13	stool	3000	9240000	9240000	18.5	100	20130318_GF_cfu.xlsx
