Number	Assay_date	Cage_Mouse	Experiment_day	Sample_source	percent_weightLoss	loss_below90	day_end	Recip_Dilution_from_DP2	Recip_Dilution_from_adding_to_cells	Recip_Dilution_from_Postion_on_PlateA	Recip_Dilution_from_Postion_on_PlateB	Average 	Log_repiricoal_dilution
1	6/12/15	LINE-188-D2	2	stool	110.5263158	NA	10	2	10	0	0	0	1
2	6/12/15	MOUT-568-D2	2	stool	88.1147541	88.1147541	10	2	10	10	10	10	2.301029996
3	6/12/15	OUT2-NT-D2	2	stool	115.1960784	NA	10	2	10	10	10	10	2.301029996
4	6/12/15	IN3-2336-D2	2	stool	94.29824561	NA	10	2	10	0	0	0	1
5	6/12/15	OUT-2096-D2	2	stool	84.72906404	84.72906404	3	2	10	0	0	0	1
6	6/12/15	INA-2064-D2	2	stool	74.29718876	74.29718876	2	2	10	10	10	10	2.301029996
7	6/12/15	OUTA-NT-D2	2	stool	88.0952381	88.0952381	10	2	10	10	10	10	2.301029996
8	6/12/15	369-331-D2	2	stool	97.22222222	NA	10	2	10	0	0	0	1
9	6/12/15	430-304-D2	2	stool	89.79591837	89.79591837	10	2	10	100	100	100	3.301029996
10	6/12/15	578-389-D2	2	stool	NA	NA	2	2	10	10	10	10	2.301029996
11	6/12/15	OP-2542-D2	2	stool	83.33333333	83.33333333	3	2	10	0	0	0	1
12	6/12/15	P2-2561-D2	2	stool	101.5873016	NA	10	2	10	0	0	0	1
13	6/12/15	NP2-2630-D2	2	stool	99.18367347	NA	10	2	10	0	0	0	1
14	6/12/15	NP1-2725-D2	2	stool	100.3558719	NA	10	2	10	0	0	0	1
15	6/12/15	Y-532-D2	2	stool	92.34234234	NA	2	2	10	10	10	10	2.301029996
16	6/12/15	N-534-D2	2	stool	86.29441624	86.29441624	10	2	10	10	10	10	2.301029996
17	6/12/15	IN2-2673-D2	2	stool	106.6666667	NA	10	2	10	0	0	0	1
18	6/12/15	A-503-D2	2	stool	112.3348018	NA	10	2	10	0	0	0	1
19	6/12/15	369-992-D2	2	stool	102.9411765	NA	10	2	10	0	0	0	1
20	6/12/15	D-540-D2	2	stool	96.44268775	NA	10	2	10	0	0	0	1
21	6/12/15	C-596-D2	2	stool	104.7794118	NA	10	2	10	0	0	0	1
22	6/12/15	430-307-D2	2	stool	88.88888889	88.88888889	10	2	10	10	0	5	2
23	6/12/15	IN2-2629-D2	2	stool	106.6666667	NA	10	2	10	10	10	10	2.301029996
24	6/12/15	578-984-D2	2	stool	83.33333333	83.33333333	2	2	10	10	10	10	2.301029996
25	6/19/15	NP1-2597-D2	2	stool	101.4925373	NA	10	2	10	0	0	0	1
