mouse_id	sample_id	human_source	cage_id	ear_tag	mouse_sex	mouse_DOB	mouse_age_d	mouse_age_wk	day	cdiff_strain	date	sample_type	cdiff_cfu	nextDayCFU_colon	nextDayCFU_any	weight_grams	percent_weightLoss	last_day_by_mouse	Early_Euth	log_cfu
369_331	369-331-D0	DA00369	369	331	f	2013-02-14	47	6.71	0	431	2013-04-02	stool	0	7000	7000	18	100	10	FALSE	0
369_331	369-331-D1	DA00369	369	331	f	2013-02-14	48	6.86	1	431	2013-04-03	stool	7000	7560000	7560000	16.5	91.6666666666667	10	FALSE	3.84516007765195
369_331	369-331-D10	DA00369	369	331	f	2013-02-14	57	8.14	10	431	2013-04-12	stool	8.7e+07	NA	NA	19	105.555555555556	10	FALSE	7.93951925761051
369_331	369-331-D2	DA00369	369	331	f	2013-02-14	49	7	2	431	2013-04-04	stool	7560000	6e+06	6e+06	17.5	97.2222222222222	10	FALSE	6.87852185294756
369_331	369-331-D3	DA00369	369	331	f	2013-02-14	50	7.14	3	431	2013-04-05	stool	6e+06	8400000	8400000	15	83.3333333333333	10	FALSE	6.77815132276605
369_331	369-331-D4	DA00369	369	331	f	2013-02-14	51	7.29	4	431	2013-04-06	stool	8400000	1600000	1600000	17.5	97.2222222222222	10	FALSE	6.9242793377636
369_331	369-331-D5	DA00369	369	331	f	2013-02-14	52	7.43	5	431	2013-04-07	stool	1600000	10400000	10400000	16.5	91.6666666666667	10	FALSE	6.20412025408989
369_331	369-331-D6	DA00369	369	331	f	2013-02-14	53	7.57	6	431	2013-04-08	stool	10400000	24200000	24200000	17	94.4444444444445	10	FALSE	7.01703338105786
369_331	369-331-D7	DA00369	369	331	f	2013-02-14	54	7.71	7	431	2013-04-09	stool	24200000	6.6e+07	6.6e+07	17	94.4444444444445	10	FALSE	7.38381538392648
369_331	369-331-D8	DA00369	369	331	f	2013-02-14	55	7.86	8	431	2013-04-10	stool	6.6e+07	1.32e+08	1.32e+08	18	100	10	FALSE	7.81954394212209
369_331	369-331-D9	DA00369	369	331	f	2013-02-14	56	8	9	431	2013-04-11	stool	1.32e+08	8.7e+07	8.7e+07	17.5	97.2222222222222	10	FALSE	8.12057393449596
369_939	369-939-D0	DA00369	369	939	f	2013-02-14	47	6.71	0	431	2013-04-02	stool	0	1000	1000	19	100	10	FALSE	0
369_939	369-939-D1	DA00369	369	939	f	2013-02-14	48	6.86	1	431	2013-04-03	stool	1000	1260000	1260000	18.5	97.3684210526316	10	FALSE	3.00043407747932
369_939	369-939-D10	DA00369	369	939	f	2013-02-14	57	8.14	10	431	2013-04-12	stool	5e+07	NA	NA	20	105.263157894737	10	FALSE	7.69897001302191
369_939	369-939-D2	DA00369	369	939	f	2013-02-14	49	7	2	431	2013-04-04	stool	1260000	5.8e+07	5.8e+07	19	100	10	FALSE	6.10037088979559
369_939	369-939-D3	DA00369	369	939	f	2013-02-14	50	7.14	3	431	2013-04-05	stool	5.8e+07	2300000	2300000	18.5	97.3684210526316	10	FALSE	7.76342800105077
369_939	369-939-D4	DA00369	369	939	f	2013-02-14	51	7.29	4	431	2013-04-06	stool	2300000	2e+07	2e+07	19	100	10	FALSE	6.36172802484124
369_939	369-939-D5	DA00369	369	939	f	2013-02-14	52	7.43	5	431	2013-04-07	stool	2e+07	1.32e+08	1.32e+08	18.5	97.3684210526316	10	FALSE	7.3010300173787
369_939	369-939-D6	DA00369	369	939	f	2013-02-14	53	7.57	6	431	2013-04-08	stool	1.32e+08	7.9e+07	7.9e+07	20	105.263157894737	10	FALSE	8.12057393449596
369_939	369-939-D7	DA00369	369	939	f	2013-02-14	54	7.71	7	431	2013-04-09	stool	7.9e+07	8.5e+07	8.5e+07	18.5	97.3684210526316	10	FALSE	7.89762709678784
369_939	369-939-D8	DA00369	369	939	f	2013-02-14	55	7.86	8	431	2013-04-10	stool	8.5e+07	1.63e+08	1.63e+08	17.5	92.1052631578947	10	FALSE	7.92941893082364
369_939	369-939-D9	DA00369	369	939	f	2013-02-14	56	8	9	431	2013-04-11	stool	1.63e+08	5e+07	5e+07	19	100	10	FALSE	8.21218760706834
369_942	369-942-D0	DA00369	369	942	f	2013-02-14	47	6.71	0	431	2013-04-02	stool	0	3000	3000	18.5	100	10	FALSE	0
369_942	369-942-D1	DA00369	369	942	f	2013-02-14	48	6.86	1	431	2013-04-03	stool	3000	9240000	9240000	18.5	100	10	FALSE	3.47726599542485
369_942	369-942-D10	DA00369	369	942	f	2013-02-14	57	8.14	10	431	2013-04-12	stool	7.5e+07	NA	NA	18.5	100	10	FALSE	7.87506126918229
369_942	369-942-D2	DA00369	369	942	f	2013-02-14	49	7	2	431	2013-04-04	stool	9240000	5e+07	5e+07	18.5	100	10	FALSE	6.96567201822167
369_942	369-942-D3	DA00369	369	942	f	2013-02-14	50	7.14	3	431	2013-04-05	stool	5e+07	2e+07	2e+07	16	86.4864864864865	10	FALSE	7.69897001302191
369_942	369-942-D4	DA00369	369	942	f	2013-02-14	51	7.29	4	431	2013-04-06	stool	2e+07	2400000	2400000	17.5	94.5945945945946	10	FALSE	7.3010300173787
369_942	369-942-D5	DA00369	369	942	f	2013-02-14	52	7.43	5	431	2013-04-07	stool	2400000	1e+08	1e+08	17.5	94.5945945945946	10	FALSE	6.3802114226676
369_942	369-942-D6	DA00369	369	942	f	2013-02-14	53	7.57	6	431	2013-04-08	stool	1e+08	2.4e+07	2.4e+07	17	91.8918918918919	10	FALSE	8.00000000434295
369_942	369-942-D7	DA00369	369	942	f	2013-02-14	54	7.71	7	431	2013-04-09	stool	2.4e+07	9500000	9500000	17.5	94.5945945945946	10	FALSE	7.38021125980721
